id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-13,docs-delta-percent-13,docs-percent-13
BHS,2020-03-25,Bahamas,7,-65.0,4.2,1,-80.0,0.6,5,-28.6,3.0,15,-42.3,9.1,83,-21.7,50.3,28,-46.2,17.0,3,200.0,1.8,10,42.9,6.1,4,-75.0,2.4,1,-90.0,0.6,2,100,1.2,4,-66.7,2.4,2,-60.0,1.2
BHS,2020-03-26,Bahamas,12,71.4,6.5,3,200.0,1.6,7,40.0,3.8,17,13.3,9.1,81,-2.4,43.5,37,32.1,19.9,3,0.0,1.6,3,-70.0,1.6,6,50.0,3.2,2,100.0,1.1,2,0.0,1.1,4,0.0,2.2,9,350.0,4.8
BHS,2020-03-27,Bahamas,14,16.7,8.3,5,66.7,3.0,11,57.1,6.5,15,-11.8,8.9,61,-24.7,36.3,37,0.0,22.0,6,100.0,3.6,1,-66.7,0.6,6,0.0,3.6,1,-50.0,0.6,4,100.0,2.4,4,0.0,2.4,3,-66.7,1.8
BHS,2020-03-28,Bahamas,8,-42.9,6.2,0,-100.0,0,2,-81.8,1.5,6,-60.0,4.6,63,3.3,48.5,25,-32.4,19.2,3,-50.0,2.3,3,200.0,2.3,10,66.7,7.7,2,100.0,1.5,1,-75.0,0.8,3,-25.0,2.3,4,33.3,3.1
BHS,2020-03-29,Bahamas,5,-37.5,3.2,1,100,0.6,1,-50.0,0.6,6,0.0,3.8,86,36.5,55.1,36,44.0,23.1,1,-66.7,0.6,3,0.0,1.9,7,-30.0,4.5,1,-50.0,0.6,2,100.0,1.3,4,33.3,2.6,3,-25.0,1.9
BHS,2020-03-30,Bahamas,13,160.0,6.1,4,300.0,1.9,6,500.0,2.8,17,183.3,8.0,109,26.7,51.4,33,-8.3,15.6,1,0.0,0.5,3,0.0,1.4,5,-28.6,2.4,2,100.0,0.9,3,50.0,1.4,3,-25.0,1.4,13,333.3,6.1
BHS,2020-03-31,Bahamas,12,-7.7,7.3,3,-25.0,1.8,1,-83.3,0.6,10,-41.2,6.1,85,-22.0,51.8,34,3.0,20.7,1,0.0,0.6,2,-33.3,1.2,9,80.0,5.5,1,-50.0,0.6,1,-66.7,0.6,4,33.3,2.4,1,-92.3,0.6
BHS,2020-04-01,Bahamas,6,-50.0,2.5,1,-66.7,0.4,6,500.0,2.5,21,110.0,8.7,130,52.9,53.9,38,11.8,15.8,3,200.0,1.2,6,200.0,2.5,12,33.3,5.0,3,200.0,1.2,2,100.0,0.8,7,75.0,2.9,6,500.0,2.5
BHS,2020-04-02,Bahamas,12,100.0,5.7,1,0.0,0.5,10,66.7,4.8,17,-19.0,8.1,115,-11.5,55.0,30,-21.1,14.4,1,-66.7,0.5,6,0.0,2.9,6,-50.0,2.9,3,0.0,1.4,1,-50.0,0.5,5,-28.6,2.4,2,-66.7,1.0
BHS,2020-04-03,Bahamas,5,-58.3,1.9,5,400.0,1.9,6,-40.0,2.3,15,-11.8,5.8,162,40.9,62.3,34,13.3,13.1,3,200.0,1.2,7,16.7,2.7,9,50.0,3.5,1,-66.7,0.4,0,-100.0,0,6,20.0,2.3,7,250.0,2.7
BHS,2020-04-04,Bahamas,12,140.0,6.1,7,40.0,3.6,3,-50.0,1.5,17,13.3,8.6,119,-26.5,60.4,21,-38.2,10.7,2,-33.3,1.0,4,-42.9,2.0,6,-33.3,3.0,1,0.0,0.5,0,0,0,1,-83.3,0.5,4,-42.9,2.0
BHS,2020-04-05,Bahamas,6,-50.0,3.4,1,-85.7,0.6,2,-33.3,1.1,7,-58.8,4.0,106,-10.9,60.6,37,76.2,21.1,0,-100.0,0,1,-75.0,0.6,4,-33.3,2.3,1,0.0,0.6,2,100,1.1,4,300.0,2.3,4,0.0,2.3
BHS,2020-04-06,Bahamas,7,16.7,3.1,6,500.0,2.7,6,200.0,2.7,13,85.7,5.8,138,30.2,61.9,25,-32.4,11.2,1,100,0.4,6,500.0,2.7,5,25.0,2.2,4,300.0,1.8,0,-100.0,0,7,75.0,3.1,5,25.0,2.2
BHS,2020-04-07,Bahamas,5,-28.6,2.4,6,0.0,2.9,8,33.3,3.8,11,-15.4,5.2,125,-9.4,59.5,34,36.0,16.2,4,300.0,1.9,2,-66.7,1.0,7,40.0,3.3,0,-100.0,0,2,100,1.0,4,-42.9,1.9,2,-60.0,1.0
BHS,2020-04-08,Bahamas,6,20.0,2.4,5,-16.7,2.0,7,-12.5,2.9,12,9.1,4.9,159,27.2,64.9,29,-14.7,11.8,1,-75.0,0.4,2,0.0,0.8,6,-14.3,2.4,5,100,2.0,3,50.0,1.2,5,25.0,2.0,5,150.0,2.0
BHS,2020-04-09,Bahamas,9,50.0,5.1,4,-20.0,2.2,6,-14.3,3.4,9,-25.0,5.1,107,-32.7,60.1,17,-41.4,9.6,3,200.0,1.7,4,100.0,2.2,8,33.3,4.5,1,-80.0,0.6,2,-33.3,1.1,4,-20.0,2.2,4,-20.0,2.2
BHS,2020-04-10,Bahamas,8,-11.1,4.7,3,-25.0,1.7,1,-83.3,0.6,9,0.0,5.2,112,4.7,65.1,24,41.2,14.0,2,-33.3,1.2,2,-50.0,1.2,4,-50.0,2.3,2,100.0,1.2,2,0.0,1.2,2,-50.0,1.2,1,-75.0,0.6
BHS,2020-04-11,Bahamas,4,-50.0,2.4,5,66.7,3.0,1,0.0,0.6,10,11.1,5.9,104,-7.1,61.5,20,-16.7,11.8,5,150.0,3.0,5,150.0,3.0,5,25.0,3.0,1,-50.0,0.6,1,-50.0,0.6,5,150.0,3.0,3,200.0,1.8
BHS,2020-04-12,Bahamas,4,0.0,3.1,3,-40.0,2.3,4,300.0,3.1,6,-40.0,4.7,75,-27.9,58.6,18,-10.0,14.1,2,-60.0,1.6,1,-80.0,0.8,6,20.0,4.7,1,0.0,0.8,2,100.0,1.6,1,-80.0,0.8,5,66.7,3.9
BHS,2020-04-13,Bahamas,8,100.0,4.0,3,0.0,1.5,4,0.0,2.0,10,66.7,5.1,118,57.3,59.6,29,61.1,14.6,0,-100.0,0,7,600.0,3.5,5,-16.7,2.5,1,0.0,0.5,0,-100.0,0,9,800.0,4.5,4,-20.0,2.0
BHS,2020-04-14,Bahamas,5,-37.5,2.9,4,33.3,2.3,2,-50.0,1.1,10,0.0,5.7,107,-9.3,61.5,24,-17.2,13.8,2,100,1.1,4,-42.9,2.3,5,0.0,2.9,2,100.0,1.1,0,0,0,8,-11.1,4.6,1,-75.0,0.6
BHS,2020-04-15,Bahamas,8,60.0,4.1,3,-25.0,1.5,6,200.0,3.1,15,50.0,7.7,112,4.7,57.4,21,-12.5,10.8,0,-100.0,0,4,0.0,2.1,8,60.0,4.1,2,0.0,1.0,2,100,1.0,13,62.5,6.7,1,0.0,0.5
BHS,2020-04-16,Bahamas,4,-50.0,1.9,3,0.0,1.4,5,-16.7,2.3,25,66.7,11.6,142,26.8,65.7,17,-19.0,7.9,0,0,0,6,50.0,2.8,4,-50.0,1.9,1,-50.0,0.5,2,0.0,0.9,4,-69.2,1.9,3,200.0,1.4
BHS,2020-04-17,Bahamas,8,100.0,4.3,3,0.0,1.6,3,-40.0,1.6,20,-20.0,10.7,121,-14.8,64.7,15,-11.8,8.0,1,100,0.5,5,-16.7,2.7,2,-50.0,1.1,4,300.0,2.1,1,-50.0,0.5,2,-50.0,1.1,2,-33.3,1.1
BHS,2020-04-18,Bahamas,6,-25.0,4.5,1,-66.7,0.8,0,-100.0,0,9,-55.0,6.8,78,-35.5,58.6,14,-6.7,10.5,2,100.0,1.5,7,40.0,5.3,5,150.0,3.8,4,0.0,3.0,1,0.0,0.8,3,50.0,2.3,3,50.0,2.3
