id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14
BLZ,2021-09-01,Belice,7,0,0.05,0,0,2,3,19,0,0.14,0,0,1,13,5,0,0.04,0,0,0,4,3,0,0.02,0,0,0,1,18,0,0.13,0,0,6,12,7,0,0.05,0,0,0,6,2,0,0.01,0,0,1,0,11,0,0.08,0,0,2,7,31,0,0.23,10,13,7,25,1,0,0.01,0,0,1,0,4,0,0.03,0,0,1,2,11,0,0.08,0,0,0,7,14,0,0.1,0,0,0,9,2,0,0.01,0,0,1,1
BLZ,2021-09-02,Belice,8,0.14,0.06,0,0,0,4,18,-0.05,0.13,0,0,2,13,10,1,0.07,0,0,2,6,1,-0.67,0.01,0,0,0,1,32,0.78,0.23,0,0,7,20,2,-0.71,0.01,0,0,0,1,3,0.5,0.02,0,0,1,2,9,-0.18,0.06,0,0,2,5,25,-0.19,0.18,13,8,2,10,6,5,0.04,0,0,2,5,0,-1,0,0,0,0,0,13,0.18,0.09,0,0,0,5,13,-0.07,0.09,0,0,0,8,1,-0.5,0.01,0,0,1,0
BLZ,2021-09-03,Belice,8,0,0.07,0,0,2,4,16,-0.11,0.14,0,0,2,11,7,-0.3,0.06,0,0,1,5,0,-1,0,0,0,0,0,18,-0.44,0.15,0,0,1,10,5,1.5,0.04,0,0,1,3,6,1,0.05,0,0,0,4,6,-0.33,0.05,0,0,0,3,26,0.04,0.22,0,0,2,12,7,0.17,0.06,0,0,1,4,1,100,0.01,0,0,0,1,4,-0.69,0.03,0,0,0,2,11,-0.15,0.09,0,0,2,7,3,2,0.03,0,0,0,1
BLZ,2021-09-04,Belice,6,-0.25,0.07,0,0,3,2,12,-0.25,0.14,0,0,1,6,1,-0.86,0.01,0,0,0,1,0,100,0,0,0,0,0,15,-0.17,0.17,0,0,4,10,3,-0.4,0.03,0,0,0,0,5,-0.17,0.06,0,0,0,3,6,0,0.07,0,0,0,2,13,-0.5,0.15,0,0,1,9,2,-0.71,0.02,0,0,0,1,1,0,0.01,0,0,1,1,7,0.75,0.08,0,0,0,4,13,0.18,0.15,0,0,0,7,2,-0.33,0.02,0,0,0,2
BLZ,2021-09-05,Belice,3,-0.5,0.03,0,0,0,3,12,0,0.12,0,0,0,7,2,1,0.02,0,0,0,0,1,100,0.01,0,0,0,0,26,0.73,0.25,0,0,1,9,6,1,0.06,0,0,1,2,4,-0.2,0.04,0,0,0,3,4,-0.33,0.04,0,0,0,1,21,0.62,0.21,0,0,2,15,5,1.5,0.05,0,0,1,2,0,-1,0,0,0,0,0,6,-0.14,0.06,0,0,0,2,10,-0.23,0.1,0,0,0,8,2,0,0.02,0,0,0,0
BLZ,2021-09-06,Belice,4,0.33,0.04,0,0,0,2,15,0.25,0.15,0,0,3,12,7,2.5,0.07,0,0,0,3,1,0,0.01,0,0,0,0,25,-0.04,0.25,0,0,5,16,3,-0.5,0.03,0,0,0,1,7,0.75,0.07,0,0,0,1,4,0,0.04,0,0,0,4,14,-0.33,0.14,0,0,0,7,5,0,0.05,0,0,1,4,2,100,0.02,0,0,0,1,2,-0.67,0.02,0,0,0,0,10,0,0.1,0,0,1,8,2,0,0.02,0,0,0,1
BLZ,2021-09-07,Belice,5,0.25,0.04,0,0,0,3,21,0.4,0.17,0,0,1,12,3,-0.57,0.02,0,0,0,2,3,2,0.02,0,0,0,1,15,-0.4,0.12,0,0,0,11,2,-0.33,0.02,0,0,1,2,6,-0.14,0.05,0,0,0,2,6,0.5,0.05,0,0,0,5,28,1,0.23,0,0,3,22,5,0,0.04,0,0,1,5,0,-1,0,0,0,0,0,8,3,0.07,0,0,0,6,15,0.5,0.12,0,0,1,10,5,1.5,0.04,0,0,0,4
BLZ,2021-09-08,Belice,5,0,0.04,0,0,0,2,19,-0.1,0.17,0,0,3,9,2,-0.33,0.02,0,0,1,2,0,-1,0,0,0,0,0,22,0.47,0.19,0,0,0,15,2,0,0.02,0,0,0,0,1,-0.83,0.01,0,0,0,1,6,0,0.05,0,0,1,3,22,-0.21,0.19,0,0,5,9,9,0.8,0.08,0,0,2,4,1,100,0.01,0,0,0,0,6,-0.25,0.05,0,0,1,3,14,-0.07,0.12,0,0,0,10,5,0,0.04,0,0,0,1
BLZ,2021-09-09,Belice,3,-0.4,0.02,0,0,2,2,20,0.05,0.14,0,0,2,8,0,-1,0,0,0,0,0,2,100,0.01,0,0,1,0,43,0.95,0.29,5,16,7,33,5,1.5,0.03,0,0,1,2,8,7,0.05,0,0,1,7,2,-0.67,0.01,0,0,0,2,25,0.14,0.17,0,0,2,18,7,-0.22,0.05,0,0,3,7,1,0,0.01,0,0,0,1,6,0,0.04,0,0,0,3,16,0.14,0.11,0,0,2,11,8,0.6,0.05,0,0,1,5
BLZ,2021-09-10,Belice,3,0,0.03,0,0,0,2,14,-0.3,0.13,0,0,2,12,2,100,0.02,0,0,0,0,2,0,0.02,0,0,1,1,25,-0.42,0.23,0,0,5,15,6,0.2,0.06,0,0,3,2,6,-0.25,0.06,0,0,0,4,2,0,0.02,0,0,1,0,17,-0.32,0.16,0,0,3,8,3,-0.57,0.03,0,0,0,3,0,-1,0,0,0,0,0,11,0.83,0.1,0,0,0,5,12,-0.25,0.11,0,0,0,9,6,-0.25,0.06,0,0,0,6
